date,line,station,category,00~01,01~02
01/01/2014,1호선,서울역(150),승차,91,
01/01/2014,1호선,서울역(150),하차,172,
01/01/2014,1호선,시청(151),승차,8,
01/01/2014,1호선,시청(151),하차,38,
01/01/2014,1호선,종각(152),승차,28,
01/01/2014,1호선,종각(152),하차,35,
01/01/2014,1호선,종로3가(153),승차,15,
01/01/2014,1호선,종로3가(153),하차,84,
01/01/2014,1호선,종로5가(154),승차,1,
01/01/2014,1호선,종로5가(154),하차,33,
01/01/2014,1호선,동대문(155),승차,3,
01/01/2014,1호선,동대문(155),하차,89,
01/01/2014,1호선,신설동(156),승차,2,
01/01/2014,1호선,신설동(156),하차,37,
01/01/2014,1호선,제기동(157),승차,1,
01/01/2014,1호선,제기동(157),하차,30,
01/01/2014,1호선,청량리(지하)(158),승차,8,
01/01/2014,1호선,청량리(지하)(158),하차,88,
01/01/2014,1호선,동묘앞(159),승차,2,
01/01/2014,1호선,동묘앞(159),하차,89,
01/01/2014,2호선,시청(201),승차,1,
01/01/2014,2호선,시청(201),하차,20,
01/01/2014,2호선,을지로입구(202),승차,2,
01/01/2014,2호선,을지로입구(202),하차,226,
01/01/2014,2호선,을지로3가(203),승차,,
01/01/2014,2호선,을지로3가(203),하차,8,
01/01/2014,2호선,을지로4가(204),승차,,
01/01/2014,2호선,을지로4가(204),하차,1,
01/01/2014,2호선,동대문역사문화공원(205),승차,,
01/01/2014,2호선,동대문역사문화공원(205),하차,11,
01/01/2014,2호선,신당(206),승차,,
01/01/2014,2호선,신당(206),하차,,
01/01/2014,2호선,상왕십리(207),승차,,
01/01/2014,2호선,상왕십리(207),하차,,
01/01/2014,2호선,왕십리(208),승차,,
01/01/2014,2호선,왕십리(208),하차,17,
01/01/2014,2호선,한양대(209),승차,,
01/01/2014,2호선,한양대(209),하차,1,
01/01/2014,2호선,뚝섬(210),승차,2,
01/01/2014,2호선,뚝섬(210),하차,3,
01/01/2014,2호선,성수(211),승차,,
01/01/2014,2호선,성수(211),하차,251,
01/01/2014,2호선,건대입구(212),승차,,
01/01/2014,2호선,건대입구(212),하차,82,
01/01/2014,2호선,구의(213),승차,,
01/01/2014,2호선,구의(213),하차,,
01/01/2014,2호선,강변(214),승차,,
01/01/2014,2호선,강변(214),하차,,
01/01/2014,2호선,잠실나루(215),승차,,
01/01/2014,2호선,잠실나루(215),하차,,
01/01/2014,2호선,잠실(216),승차,,
01/01/2014,2호선,잠실(216),하차,,
01/01/2014,2호선,신천(217),승차,,
01/01/2014,2호선,신천(217),하차,,
01/01/2014,2호선,종합운동장(218),승차,,
01/01/2014,2호선,종합운동장(218),하차,1,
01/01/2014,2호선,삼성(219),승차,,
01/01/2014,2호선,삼성(219),하차,382,
01/01/2014,2호선,선릉(220),승차,3,
01/01/2014,2호선,선릉(220),하차,77,
01/01/2014,2호선,역삼(221),승차,2,
01/01/2014,2호선,역삼(221),하차,46,
01/01/2014,2호선,강남(222),승차,,
01/01/2014,2호선,강남(222),하차,106,
01/01/2014,2호선,교대(223),승차,,
01/01/2014,2호선,교대(223),하차,22,
01/01/2014,2호선,서초(224),승차,,
01/01/2014,2호선,서초(224),하차,2,
01/01/2014,2호선,방배(225),승차,1,
01/01/2014,2호선,방배(225),하차,,1
01/01/2014,2호선,사당(226),승차,1,
01/01/2014,2호선,사당(226),하차,80,
01/01/2014,2호선,낙성대(227),승차,,
01/01/2014,2호선,낙성대(227),하차,,
01/01/2014,2호선,서울대입구(228),승차,,
01/01/2014,2호선,서울대입구(228),하차,509,
01/01/2014,2호선,봉천(229),승차,,
01/01/2014,2호선,봉천(229),하차,2,
01/01/2014,2호선,신림(230),승차,,
01/01/2014,2호선,신림(230),하차,2,
01/01/2014,2호선,신대방(231),승차,,
01/01/2014,2호선,신대방(231),하차,,
01/01/2014,2호선,구로디지털단지(232),승차,,
01/01/2014,2호선,구로디지털단지(232),하차,18,
01/01/2014,2호선,대림(233),승차,,
01/01/2014,2호선,대림(233),하차,46,
01/01/2014,2호선,신도림(234),승차,,
01/01/2014,2호선,신도림(234),하차,534,
01/01/2014,2호선,문래(235),승차,,
01/01/2014,2호선,문래(235),하차,3,
01/01/2014,2호선,영등포구청(236),승차,,
01/01/2014,2호선,영등포구청(236),하차,5,
01/01/2014,2호선,당산(237),승차,1,
01/01/2014,2호선,당산(237),하차,35,
01/01/2014,2호선,합정(238),승차,,
01/01/2014,2호선,합정(238),하차,55,
01/01/2014,2호선,홍대입구(239),승차,2,
01/01/2014,2호선,홍대입구(239),하차,371,
01/01/2014,2호선,신촌(240),승차,1,1
01/01/2014,2호선,신촌(240),하차,100,1
01/01/2014,2호선,이대(241),승차,2,
01/01/2014,2호선,이대(241),하차,28,
01/01/2014,2호선,아현(242),승차,,
01/01/2014,2호선,아현(242),하차,,
01/01/2014,2호선,충정로(243),승차,,
01/01/2014,2호선,충정로(243),하차,10,
01/01/2014,2호선,용답(244),승차,,
01/01/2014,2호선,용답(244),하차,,
01/01/2014,2호선,신답(245),승차,,
01/01/2014,2호선,신답(245),하차,,
01/01/2014,2호선,신설동(246),승차,,
01/01/2014,2호선,신설동(246),하차,5,
01/01/2014,2호선,도림천(247),승차,,
01/01/2014,2호선,도림천(247),하차,,
01/01/2014,2호선,양천구청(248),승차,,
01/01/2014,2호선,양천구청(248),하차,,
01/01/2014,2호선,신정네거리(249),승차,,
01/01/2014,2호선,신정네거리(249),하차,1,
01/01/2014,2호선,용두(250),승차,,
01/01/2014,2호선,용두(250),하차,,
01/01/2014,3호선,지축(309),승차,,
01/01/2014,3호선,지축(309),하차,,
01/01/2014,3호선,구파발(310),승차,,
01/01/2014,3호선,구파발(310),하차,37,
01/01/2014,3호선,연신내(311),승차,,
01/01/2014,3호선,연신내(311),하차,59,
01/01/2014,3호선,불광(312),승차,,
01/01/2014,3호선,불광(312),하차,28,
01/01/2014,3호선,녹번(313),승차,,
01/01/2014,3호선,녹번(313),하차,24,
01/01/2014,3호선,홍제(314),승차,1,
01/01/2014,3호선,홍제(314),하차,2,
01/01/2014,3호선,무악재(315),승차,,
01/01/2014,3호선,무악재(315),하차,1,
01/01/2014,3호선,독립문(316),승차,,
01/01/2014,3호선,독립문(316),하차,119,
01/01/2014,3호선,경복궁(317),승차,1,
01/01/2014,3호선,경복궁(317),하차,26,
01/01/2014,3호선,안국(318),승차,,
01/01/2014,3호선,안국(318),하차,13,
01/01/2014,3호선,종로3가(319),승차,,
01/01/2014,3호선,종로3가(319),하차,11,
01/01/2014,3호선,을지로3가(320),승차,,
01/01/2014,3호선,을지로3가(320),하차,,
01/01/2014,3호선,동대입구(322),승차,,
01/01/2014,3호선,동대입구(322),하차,16,
01/01/2014,3호선,약수(323),승차,,
01/01/2014,3호선,약수(323),하차,123,
01/01/2014,3호선,금호(324),승차,,
01/01/2014,3호선,금호(324),하차,,
